Write Threshold,Trace Name,Slow Chip,Fast Read Cost,Fast Write Cost,Slow Write Cost,Write Proportion,Average Read Block Size,Read Block Size Variance,Read Block Size Std Dev,Read Block Size Max,Read Block Size Min,Damage Threshold,Normalized Cost (%)
6,pr_web,DDR5_2400AN,8.995711376819923,8.921183505234437,29.31649147589837,0.051677,110.11240130051091,10275.428378488286,101.36778767679743,1685,14,13.603354164886882,0.0
6,bfs_twi,DDR5_2400AN,9.000690027020113,8.940621854971132,29.22425922983209,0.018879,311.83820724729816,100382.28310473262,316.8316321088105,2544,7,13.521388236214815,0.24433854463850263
6,bc_road,DDR5_2400AN,9.001341970455558,9.001064561293049,29.45195974549943,0.241414,18.853311793214864,53.212781066324204,7.294709114579155,94,6,13.631897500171096,11.332784563786248
6,605,DDR5_2400AN,9.240661145123514,1.131578947368421,1.5371052631578948,3.8e-05,152825.66666666666,18996755391.555557,137828.71758655942,405946,27006,0.2633099360018054,0.0
6,603,DDR5_2400AN,10.899018358630391,14.061400737230121,31.413932069510267,0.01899,309.9308056872038,987773.5930004566,993.8679957622423,53311,11,9.552712415722945,0.0
6,bfs_web,DDR5_2400AN,9.009137501593397,8.855447774120908,29.178641953923435,0.011546,492.9287941787942,5744297.335366321,2396.726378910684,88622,10,13.535054277642944,0.03114850610091563
6,654,DDR5_2400AN,9.162520026630144,8.95857147928574,29.484522347261173,0.028169,180.31401789518534,3461522.861341632,1860.5168264064778,94447,9,13.44124813369141,0.34984749136666426
6,619,DDR5_2400AN,9.12592161703812,8.98174135933239,29.397766944837834,0.085439,64.22396235690708,1574.8138762584326,39.68392465795731,159,26,13.422880302229641,0.0
6,602,DDR5_2800AN,8.84904826965877,8.528833721230928,25.928756141711922,0.003867,1543.3944099378882,6987072.564937697,2643.307126487139,6239,32,11.797826313237158,0.0
6,cc_twi,DDR5_2800AN,9.007310925315359,8.95155842989311,26.373605497170573,0.11133,47.893020749124226,336.56980038733553,18.345838775791517,241,10,11.605270792848193,0.00199794249473016
6,pr_road,DDR5_2800AN,8.998445326113053,8.987205828595918,26.513856150656096,0.158666,31.815005294206625,96.55713983887681,9.826349263021175,109,7,11.686452283839756,0.11122482918940957
6,bfs_road,DDR5_2800AN,9.020241957958437,8.990220360404436,26.479039261252446,0.196224,24.577299412915853,98.00387069117382,9.899690434108221,121,6,11.633048635963382,3.0542299994893165
6,620,DDR5_2800AN,8.973649304432223,8.897518382352942,26.20997242647059,0.01088,545.4103695532267,2635733.543676257,1623.4942388799097,63410,18,11.575527496199408,0.0
6,bc_web,DDR5_2800AN,8.956817913002084,8.928123383854889,26.361201095250635,0.315179,13.036817757809972,126.87793018059351,11.264010395085469,2308,6,11.678083364465305,7.3277298632923955
6,607,DDR5_2800AN,12.218397391443107,32.69222191246167,37.62029551156956,0.003587,1663.0670016750419,10203670.431021662,3194.318461115244,43749,10,2.4199934449140574,0.0
6,623,DDR5_2800AN,9.05383346966073,7.9050042408821035,25.05131467345208,0.001179,5002.571428571428,1771734316.7551022,42091.97449342454,530245,10,11.36290643517601,0.13239836801301016
