total_num_other_requests,total_num_write_requests,total_num_read_requests,memory_system_cycles,total_rfm_cycles_rank1,total_rfm_cycles_rank0,avg_read_latency_0,read_queue_len_avg_0,write_queue_len_0,queue_len_0,num_other_reqs_0,num_write_reqs_0,read_latency_0,priority_queue_len_avg_0,row_hits_0,priority_queue_len_0,row_misses_0,row_conflicts_0,read_row_misses_0,queue_len_avg_0,read_row_conflicts_core_0,read_row_hits_0,write_queue_len_avg_0,read_row_conflicts_0,write_row_misses_0,write_row_conflicts_0,read_queue_len_0,write_row_hits_0,read_row_hits_core_0,read_row_misses_core_0,num_read_reqs_0,trace,timing
0.0,0.0,516.0,15999.0,0.0,0.0,15.3689318,35.2145767,0.0,563571.0,0.0,0.0,639824.0,0.0108131757,210.0,173.0,146.0,131.0,146.0,35.2253876,0.0,210.0,0.0,131.0,0.0,0.0,563398.0,0.0,0.0,0.0,41631.0,600,DDR5_1600AN
0.0,0.0,516.0,7641.0,0.0,0.0,15.9598303,36.6979446,0.0,280409.0,0.0,0.0,308711.0,0.0,229.0,0.0,102.0,167.0,102.0,36.6979446,0.0,229.0,0.0,167.0,0.0,0.0,280409.0,0.0,0.0,0.0,19343.0,600,DDR5_3200AN
0.0,0.0,516.0,3872.0,0.0,0.0,18.1675644,39.3068199,0.0,152196.0,0.0,0.0,168813.0,0.0,224.0,0.0,108.0,165.0,108.0,39.3068199,0.0,224.0,0.0,165.0,0.0,0.0,152196.0,0.0,0.0,0.0,9292.0,600,DDR5_6400AN
0.0,0.0,179214.0,6296257.0,0.0,0.0,15.4970722,35.219471,0.0,221968779.0,0.0,0.0,254373635.0,0.0346162803,63139.0,217953.0,43528.0,72515.0,43528.0,35.2540855,0.0,63139.0,0.0,72515.0,0.0,0.0,221750826.0,0.0,0.0,0.0,16414303.0,bc_twi,DDR5_1600AN
0.0,0.0,179214.0,3188301.0,0.0,0.0,16.380703,36.4837952,0.0,116404338.0,0.0,0.0,133116474.0,0.0260373782,68612.0,83015.0,32779.0,77799.0,32779.0,36.5098343,0.0,68612.0,0.0,77799.0,0.0,0.0,116321323.0,0.0,0.0,0.0,8126420.0,bc_twi,DDR5_3200AN
0.0,0.0,179214.0,1611323.0,0.0,0.0,18.3424702,39.0036774,0.0,62885643.0,0.0,0.0,71923484.0,0.0236581992,77936.0,38121.0,22423.0,78832.0,22423.0,39.0273361,0.0,77936.0,0.0,78832.0,0.0,0.0,62847522.0,0.0,0.0,0.0,3921145.0,bc_twi,DDR5_6400AN
0.0,0.0,4446.0,153583.0,0.0,0.0,15.6570578,35.2295647,0.0,5416095.0,0.0,0.0,6273188.0,0.0353750102,2826.0,5433.0,973.0,615.0,973.0,35.2649384,0.0,2826.0,0.0,615.0,0.0,0.0,5410662.0,0.0,0.0,0.0,400662.0,628,DDR5_1600AN
0.0,0.0,4446.0,77100.0,0.0,0.0,16.1768169,36.5271606,0.0,2817521.0,0.0,0.0,3182093.0,0.0165629052,3100.0,1277.0,571.0,742.0,571.0,36.5437241,0.0,3100.0,0.0,742.0,0.0,0.0,2816244.0,0.0,0.0,0.0,196707.0,628,DDR5_3200AN
0.0,0.0,4446.0,38874.0,0.0,0.0,17.6349831,39.097702,0.0,1520554.0,0.0,0.0,1671285.0,0.0172351692,3235.0,670.0,341.0,841.0,341.0,39.1149368,0.0,3235.0,0.0,841.0,0.0,0.0,1519884.0,0.0,0.0,0.0,94771.0,628,DDR5_6400AN
0.0,0.0,51677.0,1811394.0,0.0,0.0,14.9356689,35.2230301,0.0,63850599.0,0.0,0.0,70535520.0,0.026396798,30701.0,47815.0,11616.0,9329.0,11616.0,35.2494278,0.0,30701.0,0.0,9329.0,0.0,0.0,63802784.0,0.0,0.0,0.0,4722622.0,pr_web,DDR5_1600AN
0.0,0.0,51677.0,913195.0,0.0,0.0,15.7254601,36.5048485,0.0,33355801.0,0.0,0.0,36599829.0,0.0216339342,33952.0,19756.0,7898.0,9796.0,7898.0,36.5264816,0.0,33952.0,0.0,9796.0,0.0,0.0,33336045.0,0.0,0.0,0.0,2327425.0,pr_web,DDR5_3200AN
0.0,0.0,51677.0,461020.0,0.0,0.0,17.3486061,39.0462112,0.0,18010669.0,0.0,0.0,19458630.0,0.0207908545,36186.0,9585.0,5034.0,10426.0,5034.0,39.0669975,0.0,36186.0,0.0,10426.0,0.0,0.0,18001084.0,0.0,0.0,0.0,1121625.0,pr_web,DDR5_6400AN
0.0,0.0,18879.0,659284.0,0.0,0.0,15.5243502,35.2272835,0.0,23245358.0,0.0,0.0,26685272.0,0.0312080979,8840.0,20575.0,4938.0,5069.0,4938.0,35.2584877,0.0,8840.0,0.0,5069.0,0.0,0.0,23224783.0,0.0,0.0,0.0,1718930.0,bfs_twi,DDR5_1600AN
0.0,0.0,18879.0,333347.0,0.0,0.0,16.2545414,36.5021286,0.0,12176165.0,0.0,0.0,13812524.0,0.0248689801,9675.0,8290.0,3418.0,5759.0,3418.0,36.5269966,0.0,9675.0,0.0,5759.0,0.0,0.0,12167875.0,0.0,0.0,0.0,849764.0,bfs_twi,DDR5_3200AN
0.0,0.0,18879.0,168790.0,0.0,0.0,17.8678761,39.0217476,0.0,6590314.0,0.0,0.0,7342732.0,0.0227086917,10315.0,3833.0,2277.0,6258.0,2277.0,39.0444565,0.0,10315.0,0.0,6258.0,0.0,0.0,6586481.0,0.0,0.0,0.0,410946.0,bfs_twi,DDR5_6400AN
0.0,0.0,241414.0,8493549.0,0.0,0.0,15.3922644,35.2163963,0.0,299393645.0,0.0,0.0,340572061.0,0.0331360884,78579.0,281443.0,55109.0,107697.0,55109.0,35.2495308,0.0,78579.0,0.0,107697.0,0.0,0.0,299112202.0,0.0,0.0,0.0,22126185.0,bc_road,DDR5_1600AN
0.0,0.0,241414.0,4301326.0,0.0,0.0,16.3563442,36.4784317,0.0,157016829.0,0.0,0.0,179051659.0,0.0258510988,83956.0,111194.0,42011.0,115418.0,42011.0,36.5042839,0.0,83956.0,0.0,115418.0,0.0,0.0,156905635.0,0.0,0.0,0.0,10946924.0,bc_road,DDR5_3200AN
0.0,0.0,241414.0,2172983.0,0.0,0.0,18.4412098,38.9965706,0.0,84789340.0,0.0,0.0,97209919.0,0.0232183132,100046.0,50453.0,27620.0,113722.0,27620.0,39.0197906,0.0,100046.0,0.0,113722.0,0.0,0.0,84738887.0,0.0,0.0,0.0,5271342.0,bc_road,DDR5_6400AN
0.0,0.0,38.0,66.0,0.0,0.0,0.0,22.469696,0.0,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,22.469696,0.0,0.0,0.0,0.0,0.0,0.0,1483.0,0.0,0.0,0.0,99.0,605,DDR5_1600AN
0.0,0.0,38.0,43.0,0.0,0.0,0.0,15.3488369,0.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,15.3488369,0.0,0.0,0.0,0.0,0.0,0.0,660.0,0.0,0.0,0.0,38.0,605,DDR5_3200AN
0.0,0.0,38.0,43.0,0.0,0.0,0.0,13.5348835,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,13.5348835,0.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,38.0,605,DDR5_6400AN
0.0,0.0,18990.0,709302.0,0.0,0.0,14.499197,35.0830383,0.0,24901940.0,0.0,0.0,26874132.0,0.0246340763,1069.0,17473.0,1665.0,16223.0,1665.0,35.1076698,0.0,1069.0,0.0,16223.0,0.0,0.0,24884467.0,0.0,0.0,0.0,1853491.0,603,DDR5_1600AN
0.0,0.0,18990.0,367631.0,0.0,0.0,15.2206059,36.1941757,0.0,13314488.0,0.0,0.0,14343412.0,0.0228136368,5637.0,8387.0,1443.0,11883.0,1443.0,36.2169876,0.0,5637.0,0.0,11883.0,0.0,0.0,13306101.0,0.0,0.0,0.0,942368.0,603,DDR5_3200AN
0.0,0.0,18990.0,267026.0,0.0,0.0,15.4564314,36.8293228,0.0,9840220.0,0.0,0.0,10418995.0,0.0218443144,8275.0,5833.0,1087.0,9604.0,1087.0,36.8511696,0.0,8275.0,0.0,9604.0,0.0,0.0,9834387.0,0.0,0.0,0.0,674088.0,603,DDR5_6400AN
0.0,0.0,11546.0,403055.0,0.0,0.0,14.5075464,35.2248154,0.0,14205417.0,0.0,0.0,15230341.0,0.0195482001,8395.0,7879.0,2087.0,1034.0,2087.0,35.2443619,0.0,8395.0,0.0,1034.0,0.0,0.0,14197538.0,0.0,0.0,0.0,1049822.0,bfs_web,DDR5_1600AN
0.0,0.0,11546.0,202575.0,0.0,0.0,15.3747253,36.5174904,0.0,7401645.0,0.0,0.0,7921197.0,0.0203085281,9093.0,4114.0,1314.0,1106.0,1314.0,36.5377998,0.0,9093.0,0.0,1106.0,0.0,0.0,7397531.0,0.0,0.0,0.0,515209.0,bfs_web,DDR5_3200AN
0.0,0.0,11546.0,102245.0,0.0,0.0,16.9534607,39.0670738,0.0,3996434.0,0.0,0.0,4198728.0,0.0197662469,9532.0,2021.0,771.0,1210.0,771.0,39.0868416,0.0,9532.0,0.0,1210.0,0.0,0.0,3994413.0,0.0,0.0,0.0,247662.0,bfs_web,DDR5_6400AN
0.0,0.0,28169.0,993191.0,0.0,0.0,14.9232483,35.2085838,0.0,34995098.0,0.0,0.0,38683597.0,0.0264299624,13340.0,26250.0,5142.0,9660.0,5142.0,35.2350121,0.0,13340.0,0.0,9660.0,0.0,0.0,34968848.0,0.0,0.0,0.0,2592170.0,654,DDR5_1600AN
0.0,0.0,28169.0,500338.0,0.0,0.0,15.8463631,36.4838066,0.0,18265123.0,0.0,0.0,20250003.0,0.0217632875,14277.0,10889.0,3768.0,10095.0,3768.0,36.5055695,0.0,14277.0,0.0,10095.0,0.0,0.0,18254234.0,0.0,0.0,0.0,1277896.0,654,DDR5_3200AN
0.0,0.0,28169.0,252354.0,0.0,0.0,17.576395,39.0158272,0.0,9851223.0,0.0,0.0,10837693.0,0.0214896537,16995.0,5423.0,2492.0,8656.0,2492.0,39.0373154,0.0,16995.0,0.0,8656.0,0.0,0.0,9845800.0,0.0,0.0,0.0,616605.0,654,DDR5_6400AN
0.0,0.0,85439.0,3000394.0,0.0,0.0,15.302249,35.2198448,0.0,105764666.0,0.0,0.0,119819239.0,0.030415006,32755.0,91257.0,23027.0,29625.0,23027.0,35.2502594,0.0,32755.0,0.0,29625.0,0.0,0.0,105673409.0,0.0,0.0,0.0,7830172.0,619,DDR5_1600AN
0.0,0.0,85439.0,1519551.0,0.0,0.0,16.1893425,36.4838524,0.0,55477695.0,0.0,0.0,62834998.0,0.0254167188,35661.0,38622.0,17648.0,32101.0,17648.0,36.5092697,0.0,35661.0,0.0,32101.0,0.0,0.0,55439073.0,0.0,0.0,0.0,3881257.0,619,DDR5_3200AN
0.0,0.0,85439.0,767391.0,0.0,0.0,18.020668,39.0082703,0.0,29952073.0,0.0,0.0,33797708.0,0.0227732677,42017.0,17476.0,11815.0,31578.0,11815.0,39.031044,0.0,42017.0,0.0,31578.0,0.0,0.0,29934597.0,0.0,0.0,0.0,1875497.0,619,DDR5_6400AN
